"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS1e06_6",1,"6.6","01.12.2018",198,"AT",0.8994,0.8076905,0.2714875,,,,,3,2,2,4,3,2,4,4,2,2,2,4,3,2,2,4,4,4,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",199,"AT",0.8994,1.0777107,0.2714875,,,,,4,1,2,5,5,3,3,5,2,3,1,5,3,3,2,2,5,4,3,4,2
"ESS1e06_6",1,"6.6","01.12.2018",200,"AT",1.7988,1.3232144,0.2714875,,,,,3,2,3,3,4,3,3,3,3,4,4,4,3,3,2,3,3,4,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",202,"AT",0.8994,1.0894965,0.2714875,,,,,3,2,3,4,5,3,5,4,2,2,2,3,2,2,2,3,4,3,4,3,3
"ESS1e06_6",1,"6.6","01.12.2018",204,"AT",0.4497,0.47805053,0.2714875,,,,,2,1,1,4,5,2,3,4,2,2,2,3,2,2,1,2,2,2,2,2,2
"ESS1e06_6",1,"6.6","01.12.2018",205,"AT",0.6596,0.30880043,0.2714875,,,,,1,4,3,3,3,4,3,3,3,3,2,3,3,2,2,4,3,3,4,3,3
"ESS1e06_6",1,"6.6","01.12.2018",206,"AT",0.9895,0.72788566,0.2714875,,,,,2,2,1,3,4,2,4,4,4,1,2,4,1,2,1,2,5,4,2,4,1
"ESS1e06_6",1,"6.6","01.12.2018",207,"AT",0.6596,0.9396806,0.2714875,,,,,3,2,3,3,4,2,3,4,2,2,2,3,3,2,2,2,4,2,2,3,3
"ESS1e06_6",1,"6.6","01.12.2018",208,"AT",1.3193,1.2703232,0.2714875,,,,,5,2,2,3,6,2,3,2,3,6,6,6,4,4,2,2,2,6,4,3,6
"ESS1e06_6",1,"6.6","01.12.2018",209,"AT",0.6596,0.30880043,0.2714875,,,,,6,2,3,5,5,2,2,6,2,3,3,6,5,3,2,3,6,5,2,6,5
"ESS1e06_6",1,"6.6","01.12.2018",210,"AT",0.3298,0.3175567,0.2714875,,,,,3,3,2,3,4,3,3,4,3,3,2,4,3,2,3,3,3,3,3,4,2
"ESS1e06_6",1,"6.6","01.12.2018",211,"AT",0.6596,0.7011833,0.2714875,,,,,5,2,2,4,5,2,4,4,2,1,1,3,4,3,2,2,5,4,2,5,5
"ESS1e06_6",1,"6.6","01.12.2018",212,"AT",0.6596,0.464606,0.2714875,,,,,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"ESS1e06_6",1,"6.6","01.12.2018",213,"AT",0.9895,1.0518812,0.2714875,,,,,4,2,2,2,3,2,1,6,2,2,4,3,2,2,1,4,2,2,4,3,3
"ESS1e06_6",1,"6.6","01.12.2018",214,"AT",0.6596,0.6351134,0.2714875,,,,,3,3,4,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",215,"AT",0.3298,0.7167259,0.2714875,,,,,4,3,3,2,5,3,3,3,2,4,3,4,2,1,3,3,2,3,4,5,3
"ESS1e06_6",1,"6.6","01.12.2018",216,"AT",1.3193,1.5981463,0.2714875,,,,,2,1,1,3,3,3,4,3,4,2,2,3,2,2,2,3,3,2,4,4,1
"ESS1e06_6",1,"6.6","01.12.2018",221,"AT",1.7367,1.8139107,0.2714875,,,,,1,5,4,1,3,4,1,5,4,2,2,3,1,4,1,1,1,3,1,4,4
"ESS1e06_6",1,"6.6","01.12.2018",223,"AT",0.4342,0.41808105,0.2714875,,,,,1,2,1,3,2,4,4,2,6,1,1,6,2,2,2,5,3,1,4,2,1
"ESS1e06_6",1,"6.6","01.12.2018",224,"AT",0.8683,0.6116091,0.2714875,,,,,5,3,3,5,5,3,4,5,4,3,3,4,4,3,3,4,5,4,2,4,4
